2020-02-09 14:18:14.169 [main                ] [INFO ] RtNodeSlaveApplication >>> Starting RtNodeSlaveApplication on WIN-IQ534GK0C9P with PID 8392 (C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-slave\bin\main started by Administrator in C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-slave) 
2020-02-09 14:18:27.176 [Thread-12           ] [INFO ] MdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] OnRspUserLogin TradingDay:20200207,SessionID:0,BrokerId:,UserID: 
2020-02-09 14:18:27.176 [Thread-12           ] [WARN ] MdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 行情接口获取到的交易日为20200207 
2020-02-09 14:18:27.199 [Thread-13           ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口客户端验证成功 
2020-02-09 14:18:27.214 [Thread-14           ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口客户端验证成功 
2020-02-09 14:18:27.531 [Thread-15           ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口登录成功 TradingDay:20200207,SessionID:-1539958046,BrokerID:9999,UserID:095076 
2020-02-09 14:18:27.531 [Thread-15           ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口获取到的交易日为20200207 
2020-02-09 14:18:27.535 [Thread-16           ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口登录成功 TradingDay:20200207,SessionID:-1539958047,BrokerID:9999,UserID:094948 
2020-02-09 14:18:27.535 [Thread-16           ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口获取到的交易日为20200207 
2020-02-09 14:18:27.808 [Thread-716          ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口结算信息确认完成 
2020-02-09 14:18:27.812 [Thread-762          ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口结算信息确认完成 
2020-02-09 14:18:28.809 [Thread-716          ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口开始查询投资者信息 
2020-02-09 14:18:28.814 [Thread-762          ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口开始查询投资者信息 
2020-02-09 14:18:28.845 [Thread-763          ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口获取到的投资者名为:leosun1 
2020-02-09 14:18:28.850 [Thread-764          ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口获取到的投资者名为:leosun 
2020-02-09 14:18:29.847 [Thread-763          ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口开始查询合约信息 
2020-02-09 14:18:29.851 [Thread-764          ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口开始查询合约信息 
2020-02-09 14:18:30.326 [Thread-1810         ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口合约信息获取完成!共计542条 
2020-02-09 14:18:30.327 [pool-3-thread-1     ] [INFO ] RpcClientProcessServiceImpl >>> 发送RPC记录,目标节点ID:0,请求ID:,RPC:CONTRACT_LIST_RTN 
2020-02-09 14:18:30.327 [Thread-1810         ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口开始推送缓存Order,共计0条 
2020-02-09 14:18:30.328 [Thread-1810         ] [WARN ] TdSpi >>> 网关ID-[8980aad4-7299-4615-93fa-cdcb95b76e14] 名称-[095076SIM10130] [→] 交易接口开始推送缓存Trade,共计0条 
2020-02-09 14:18:30.330 [Thread-1849         ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口合约信息获取完成!共计542条 
2020-02-09 14:18:30.331 [Thread-1849         ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口开始推送缓存Order,共计0条 
2020-02-09 14:18:30.331 [Thread-1849         ] [WARN ] TdSpi >>> 网关ID-[52a91f77-c3a7-42ac-a4fe-7a605b99ff4a] 名称-[094948SIM10130] [→] 交易接口开始推送缓存Trade,共计0条 
